geneSymbol,final_state
2810474O19Rik,1.0
2900026A02Rik,1.0
5031439G07Rik,-1.0
8030462N17Rik,-1.0
Septin9,-1.0
AB124611,1.0
Aak1,-1.0
Abcc4,-1.0
Abcf2,-1.0
Abhd15,1.0
Abi1,-1.0
Abi2,-1.0
Abl1,-1.0
Abl2,1.0
Abraxas2,1.0
Acin1,-1.0
Acly,1.0
Acot11,1.0
Actr10,1.0
Adar,-1.0
Add1,1.0
Add3,-1.0
Adnp,1.0
Afdn,-1.0
Aff1,-1.0
Aff4,1.0
Agap1,1.0
Agap3,-1.0
Agfg1,-1.0
Ahctf1,1.0
Ahdc1,1.0
Ahnak,1.0
Ahnak2,1.0
Ahsg,-1.0
Akap10,1.0
Akap11,-1.0
Akap13,1.0
Akap2,1.0
Akap8,1.0
Akap8l,-1.0
Akip1,1.0
Akna,1.0
Aldh1l1,1.0
Alkbh3,1.0
Alkbh5,1.0
Alms1,1.0
Alpk1,-1.0
Anapc1,1.0
Ank2,1.0
Ankhd1,1.0
Ankib1,-1.0
Ankle2,1.0
Ankrd10,1.0
Ankrd11,-1.0
Ankrd33b,-1.0
Ankrd50,1.0
Ankrd55,-1.0
Anks1a,-1.0
Ano8,-1.0
Ap1m1,-1.0
Ap3b1,-1.0
Ap3d1,-1.0
Ap4e1,-1.0
Apba1,1.0
Apc,1.0
Api5,1.0
Apobr,1.0
Apoe,-1.0
Appl2,-1.0
Araf,-1.0
Arap1,1.0
Arap3,1.0
Arfgap1,-1.0
Arfgap3,1.0
Arfgef2,1.0
Arfgef3,-1.0
Arfip1,1.0
Arhgap1,1.0
Arhgap12,1.0
Arhgap19,1.0
Arhgap21,1.0
Arhgap25,1.0
Arhgap27,1.0
Arhgap30,1.0
Arhgap31,1.0
Arhgap39,1.0
Arhgap4,1.0
Arhgap45,1.0
Arhgap5,-1.0
Arhgdia,-1.0
Arhgef1,1.0
Arhgef11,1.0
Arhgef12,1.0
Arhgef2,1.0
Arhgef7,1.0
Arid5b,1.0
Arl3,1.0
Asap1,1.0
Asf1a,-1.0
Asxl2,1.0
Atad2,1.0
Atf7,1.0
Atg16l1,1.0
Atg16l2,-1.0
Atg2b,-1.0
Atg9a,1.0
Atp6v1c1,-1.0
Atrip,1.0
Atxn2,-1.0
Atxn2l,1.0
Atxn7,-1.0
Axin1,1.0
Bag3,1.0
Baiap2,-1.0
Baz2a,1.0
Bbx,1.0
Bcas3,1.0
Bcl2l11,1.0
Bclaf1,-1.0
Bclaf3,1.0
Bcr,1.0
Bet1,1.0
Bmp2k,-1.0
Bnip3l,1.0
Bod1l,-1.0
Bola1,-1.0
Bptf,1.0
Braf,1.0
Brd4,-1.0
Brwd1,-1.0
Bsn,-1.0
Btf3,-1.0
Btrc,1.0
Bzw1,-1.0
C2cd2,1.0
C2cd2l,1.0
C2cd5,-1.0
Cabin1,1.0
Cables1,-1.0
Cactin,-1.0
Cad,-1.0
Camkk2,1.0
Camsap1,1.0
Camsap2,1.0
Cap1,-1.0
Capn15,1.0
Caprin1,1.0
Capzb,1.0
Card11,-1.0
Card6,-1.0
Carhsp1,-1.0
Carmil1,1.0
Caskin2,1.0
Casp8,-1.0
Cast,1.0
Cblb,1.0
Cbx1,1.0
Cbx3,-1.0
Cbx4,1.0
Cbx5,1.0
Cc2d1b,1.0
Ccar2,-1.0
Ccdc115,1.0
Ccdc124,1.0
Ccdc130,1.0
Ccdc186,1.0
Ccdc50,1.0
Ccdc6,1.0
Ccdc71l,-1.0
Ccdc88a,1.0
Ccdc88b,1.0
Ccdc9,1.0
Ccl9,-1.0
Ccnl1,1.0
Ccnt1,1.0
Ccnt2,1.0
Ccpg1,1.0
Ccser2,1.0
Cct2,1.0
Ccz1,-1.0
Cd200r1,1.0
Cd28,1.0
Cd2ap,1.0
Cd3eap,1.0
Cdan1,-1.0
Cdc37,-1.0
Cdc42ep4,1.0
Cdk12,-1.0
Cdk13,1.0
Cdk14,-1.0
Cdk17,-1.0
Cdk18,-1.0
Cdkn2aip,1.0
Cdt1,-1.0
Cdv3,1.0
Cdyl,1.0
Cenpa,-1.0
Cep128,1.0
Cep131,1.0
Cep135,1.0
Cep170,1.0
Cep170b,-1.0
Cep295,1.0
Cep350,1.0
Cfl1,1.0
Cgnl1,1.0
Champ1,1.0
Chd1,-1.0
Chd7,1.0
Chd8,1.0
Chmp2b,1.0
Cic,1.0
Ciz1,1.0
Ckap5,-1.0
Clasp1,-1.0
Clasp2,1.0
Clic1,1.0
Clip2,-1.0
Cluh,1.0
Cnp,-1.0
Cntrob,1.0
Cobll1,1.0
Cog1,1.0
Cog7,1.0
Col4a3bp,1.0
Copg1,1.0
Coro1a,1.0
Coro1b,1.0
Coro1c,1.0
Cracr2b,-1.0
Creb1,1.0
Crtc1,-1.0
Crybg1,-1.0
Crybg3,-1.0
Csf1r,-1.0
Csf2rb,-1.0
Csf3r,1.0
Csnk1d,1.0
Ctdp1,-1.0
Ctla2b,1.0
Ctnna1,-1.0
Ctnnb1,1.0
Ctnnd1,1.0
Cttnbp2nl,1.0
Cul4b,1.0
Cux1,1.0
Cwc27,1.0
Cxxc1,-1.0
Cyld,1.0
Cysltr1,-1.0
Cytip,1.0
D10Wsu102e,-1.0
D1Ertd622e,1.0
D5Ertd579e,1.0
D6Wsu163e,1.0
Dapk1,1.0
Daxx,-1.0
Dbnl,1.0
Dbr1,-1.0
Dcaf11,-1.0
Dcaf8,-1.0
Dctn1,1.0
Dcun1d1,1.0
Dda1,1.0
Ddi2,1.0
Ddx17,1.0
Ddx20,1.0
Ddx28,1.0
Ddx3x,1.0
Dedd,1.0
Dennd1a,1.0
Dennd1b,-1.0
Dennd4a,-1.0
Dennd4b,-1.0
Dennd4c,-1.0
Dennd5a,-1.0
Depdc7,1.0
Dhx38,1.0
Dido1,-1.0
Dip2b,1.0
Dip2c,-1.0
Dis3l2,1.0
Dlgap4,1.0
Dmap1,1.0
Dmp1,-1.0
Dmxl1,1.0
Dmxl2,1.0
Dnajc1,-1.0
Dnmbp,1.0
Dnmt1,1.0
Dnmt3b,-1.0
Dnttip1,-1.0
Dnttip2,1.0
Dock1,1.0
Dock10,-1.0
Dock11,-1.0
Dock2,-1.0
Dock4,1.0
Dock5,-1.0
Dock6,-1.0
Dock7,1.0
Dok3,-1.0
Dopey2,1.0
Dot1l,1.0
Dpf2,-1.0
Dtnbp1,1.0
Dync1h1,1.0
Dync1i2,1.0
Dync1li1,-1.0
Dync1li2,1.0
Ecd,-1.0
Ece2,-1.0
Edc4,1.0
Eef1akmt2,1.0
Eef2k,1.0
Eefsec,-1.0
Egln1,1.0
Ehbp1l1,-1.0
Ehmt2,1.0
Eif2b3,1.0
Eif2d,-1.0
Eif3a,1.0
Eif3c,1.0
Eif4b,1.0
Eif4enif1,-1.0
Eif4g1,1.0
Eif4g2,-1.0
Eif4g3,1.0
Eif5b,1.0
Elavl1,-1.0
Elf2,1.0
Elk3,-1.0
Elmsan1,1.0
Emd,1.0
Emg1,1.0
Eml3,1.0
Eml4,-1.0
Enc1,1.0
Ep300,1.0
Ep400,1.0
Epb41,1.0
Epb41l1,-1.0
Epb41l2,-1.0
Epb41l3,1.0
Eprs,1.0
Eps15,1.0
Eps8,1.0
Epsti1,1.0
Erbin,1.0
Erf,1.0
Errfi1,1.0
Evi2b,-1.0
Evi5,1.0
Exoc1,1.0
Exoc7,1.0
Exosc10,1.0
Eya3,-1.0
Fam114a1,1.0
Fam117a,-1.0
Fam117b,-1.0
Fam126a,-1.0
Fam129b,1.0
Fam149b1,1.0
Fam160a2,-1.0
Fam162a,1.0
Fam193a,-1.0
Fam207a,1.0
Fam208a,1.0
Fam208b,1.0
Fam53b,-1.0
Fam53c,1.0
Fasn,1.0
Fbrs,-1.0
Fbrsl1,-1.0
Fbxo38,1.0
Fermt3,1.0
Fgd2,1.0
Fgd3,-1.0
Fgd6,1.0
Fgr,1.0
Fhl3,1.0
Fhod1,1.0
Filip1l,1.0
Fkbp15,1.0
Fkbp3,-1.0
Fkbpl,1.0
Flna,1.0
Fmn1,1.0
Fmnl1,1.0
Fnbp4,1.0
Fndc3a,1.0
Fnip1,-1.0
Fos,1.0
Foxk1,1.0
Foxk2,-1.0
Foxo3,1.0
Foxo4,1.0
Frmd4a,1.0
Frmd4b,1.0
Fry,-1.0
Fryl,-1.0
Fsd1l,-1.0
Fxr1,1.0
Fxr2,-1.0
Fyb1,-1.0
Gab2,1.0
Gab3,1.0
Gapvd1,-1.0
Gas2l1,1.0
Gas2l3,-1.0
Gas7,-1.0
Gatad2b,1.0
Gbf1,1.0
Gcc2,1.0
Gemin5,1.0
Gigyf2,1.0
Git1,-1.0
Glcci1,1.0
Gm17669,1.0
Gm27029,1.0
Gm9774,-1.0
Gmip,-1.0
Golga3,1.0
Golga4,1.0
Golga5,1.0
Gorasp2,1.0
Gosr1,1.0
Gpatch8,1.0
Gpbp1,-1.0
Gpbp1l1,1.0
Gpnmb,1.0
Gpr137b,1.0
Gramd1a,-1.0
Gramd1b,1.0
Gtf2f1,1.0
Gvin1,1.0
Gys1,-1.0
H1f0,-1.0
H2afy,1.0
Hadh,1.0
Haus6,1.0
Haus8,-1.0
Hbs1l,1.0
Hcfc1,1.0
Hck,-1.0
Hcls1,-1.0
Hdac4,1.0
Hdac5,-1.0
Hdac6,1.0
Heatr5b,1.0
Heatr6,1.0
Hectd1,1.0
Hectd4,1.0
Herc1,1.0
Hexim1,1.0
Hgsnat,1.0
Hhex,1.0
Hira,1.0
Hist1h1a,-1.0
Hivep1,-1.0
Hivep3,-1.0
Hmg20a,1.0
Hmga1,1.0
Hnrnpa0,1.0
Hnrnpa1,1.0
Hnrnpa2b1,1.0
Hnrnpa3,1.0
Hnrnpab,-1.0
Hnrnpc,1.0
Hnrnpk,1.0
Hnrnpm,1.0
Homez,1.0
Hp1bp3,1.0
Hps4,-1.0
Hps5,-1.0
Htatsf1,1.0
Huwe1,-1.0
Ibtk,-1.0
Ice1,1.0
Ifi203,1.0
Ifi204,1.0
Ifi207,1.0
Ifi209,1.0
Ifit3b,1.0
Ifngr1,1.0
Igf2r,1.0
Igfbp3,-1.0
Ighmbp2,1.0
Ikbke,1.0
Ikzf1,-1.0
Il16,1.0
Ing5,1.0
Ino80c,1.0
Inpp5d,1.0
Inppl1,1.0
Ints1,-1.0
Ints6l,1.0
Iqgap2,-1.0
Iqsec1,1.0
Iqsec2,1.0
Irak4,1.0
Irf2bp1,-1.0
Irf2bp2,-1.0
Irgm2,-1.0
Irs2,1.0
Iscu,1.0
Itga5,1.0
Itgb1bp1,1.0
Itgb5,1.0
Itgb7,-1.0
Itpkb,1.0
Itpkc,1.0
Itpr2,-1.0
Itpr3,-1.0
Itsn1,1.0
Itsn2,-1.0
Ivns1abp,-1.0
JPT1,1.0
Jade2,1.0
Jdp2,1.0
Jmjd1c,1.0
Jmy,-1.0
Jpt2,1.0
Junb,1.0
Kansl1,-1.0
Kansl3,1.0
Kat7,1.0
Kctd12,1.0
Kctd3,-1.0
Kdm2a,-1.0
Kdm2b,1.0
Kdm3b,-1.0
Kdm4b,1.0
Kdm5a,1.0
Khnyn,1.0
Kiaa0100,-1.0
Kiaa1109,1.0
Kiaa1522,1.0
Kidins220,1.0
Kif13b,-1.0
Kif1b,1.0
Kif21b,1.0
Kif2a,1.0
Kif3a,-1.0
Kif3b,1.0
Kif4,1.0
Kifap3,1.0
Klc2,-1.0
Klc4,1.0
Klf13,1.0
Klhl24,-1.0
Kmt2a,1.0
Kmt2b,1.0
Kmt2c,1.0
Ksr1,-1.0
L3mbtl3,1.0
Larp1,1.0
Larp1b,-1.0
Larp4b,1.0
Larp7,-1.0
Lbr,1.0
Lcp1,1.0
Ldlrap1,1.0
Leng8,1.0
Lig1,-1.0
Lig3,1.0
Lima1,1.0
Limd1,-1.0
Lin54,1.0
Lin9,1.0
Lmna,1.0
Lmnb1,1.0
Lmnb2,1.0
Lpar6,1.0
Lpxn,1.0
Lrch3,-1.0
Lrmp,-1.0
Lrrc25,1.0
Lrrc41,1.0
Lrrc8b,1.0
Lrrfip1,-1.0
Lrrfip2,-1.0
Lsm11,-1.0
Lsr,-1.0
Luc7l3,-1.0
Luzp1,1.0
Ly9,1.0
Lyst,1.0
Macf1,1.0
Madd,1.0
Maf,-1.0
Mafg,1.0
Mafk,1.0
Maged1,-1.0
Magi3,-1.0
Map1a,1.0
Map2k6,-1.0
Map2k7,1.0
Map3k1,-1.0
Map3k20,-1.0
Map3k3,1.0
Map3k8,-1.0
Map4,-1.0
Map4k1,-1.0
Map4k2,1.0
Map4k4,-1.0
Map7d1,-1.0
Mapk1,1.0
Mapk14,1.0
Mapk3,1.0
Mapk8ip3,1.0
Mapkapk2,1.0
Marcks,-1.0
Marf1,-1.0
Mark2,1.0
Mark3,-1.0
Mast2,1.0
Mast3,1.0
Matr3,1.0
Mbd1,1.0
Mcm3,1.0
Mcph1,-1.0
Mcrip2,1.0
Mdc1,1.0
Mdfic,1.0
Mdn1,1.0
Mecp2,-1.0
Med1,-1.0
Med13l,1.0
Mef2a,1.0
Mef2c,-1.0
Mefv,-1.0
Mepce,-1.0
Metap2,1.0
Mff,1.0
Mfsd4a,1.0
Mga,1.0
Mgrn1,1.0
Mia2,-1.0
Mia3,1.0
Micall2,-1.0
Mief1,1.0
Mier1,-1.0
Mindy4,1.0
Mink1,-1.0
Mki67,1.0
Mkl1,1.0
Mlf2,-1.0
Mllt6,1.0
Mon1a,1.0
Mon2,-1.0
Mpp1,1.0
Mprip,1.0
Mre11,1.0
Msl2,-1.0
Msl3,-1.0
Mta3,1.0
Mtdh,1.0
Mtf1,1.0
Mtfr2,1.0
Mtmr10,-1.0
Mtmr12,1.0
Mtmr14,1.0
Mtmr3,-1.0
Mtmr4,1.0
Mtmr6,1.0
Mtor,1.0
Mtus1,1.0
Mvb12a,1.0
Mvd,1.0
Mybbp1a,1.0
Mycbp2,1.0
Mylk,-1.0
Myo18a,-1.0
Myo1e,-1.0
Myo1f,-1.0
Myo1g,1.0
Myo5a,1.0
Myo7a,1.0
Myo9a,1.0
Myo9b,1.0
N4bp1,1.0
N4bp3,1.0
Nab1,1.0
Nadk,-1.0
Nav1,-1.0
Nav2,1.0
Nbeal2,1.0
Ncaph,1.0
Ncbp3,1.0
Ncf1,-1.0
Ncf2,1.0
Nckipsd,1.0
Ncl,1.0
Ncoa2,1.0
Ncoa3,-1.0
Ncor1,-1.0
Ncor2,1.0
Ndc1,1.0
Ndrg1,1.0
Ndrg2,-1.0
Ndrg3,1.0
Necap2,1.0
Nek4,1.0
Nelfa,1.0
Nelfe,1.0
Nes,1.0
Neurl3,1.0
Nf1,-1.0
Nfatc1,1.0
Nfatc2,-1.0
Nfe2l2,1.0
Nfia,1.0
Nfil3,1.0
Nfkb1,-1.0
Nfkb2,1.0
Nfx1,1.0
Nhsl2,1.0
Nin,1.0
Nipbl,1.0
Nktr,1.0
Nlrc4,1.0
Nmt1,-1.0
Nmt2,-1.0
Nolc1,1.0
Nop9,1.0
Nploc4,-1.0
Npm1,-1.0
Nr3c1,1.0
Nsd1,-1.0
Nsd3,1.0
Nsfl1c,1.0
Nsmce3,1.0
Nuak1,1.0
Nudc,-1.0
Nufip2,-1.0
Numa1,1.0
Nup107,1.0
Nup133,-1.0
Nup153,1.0
Nup155,1.0
Nup188,1.0
Nup214,1.0
Nup35,1.0
Oas3,-1.0
Ociad1,1.0
Optn,1.0
Osbpl11,-1.0
Osbpl3,1.0
Osbpl8,1.0
Oxr1,1.0
Oxsr1,-1.0
Pacs1,-1.0
Pag1,-1.0
Paip1,1.0
Pak1,1.0
Palld,1.0
Palm,-1.0
Pan2,1.0
Pan3,1.0
Panx1,-1.0
Papd5,-1.0
Papolg,1.0
Parp10,-1.0
Parp8,1.0
Parp9,1.0
Pask,1.0
Patl1,-1.0
Pbrm1,-1.0
Pbxip1,1.0
Pcbp1,1.0
Pcbp2,1.0
Pcdh7,1.0
Pcf11,1.0
Pcm1,1.0
Pcnx3,-1.0
Pde3b,1.0
Pde4a,1.0
Pde4dip,1.0
Pde8a,1.0
Pdlim2,1.0
Pdlim4,1.0
Pdlim5,1.0
Pds5a,1.0
Pds5b,1.0
Pdxdc1,-1.0
Peak1,-1.0
Pfkfb3,1.0
Phactr4,1.0
Phf11,1.0
Phf13,1.0
Phf14,1.0
Phf2,1.0
Phf20l1,1.0
Phf21a,1.0
Phf3,1.0
Phf8,1.0
Phip,1.0
Phka2,1.0
Phkg2,-1.0
Phldb1,-1.0
Phrf1,-1.0
Pi4k2a,1.0
Pi4ka,-1.0
Pi4kb,-1.0
Picalm,1.0
Pik3ap1,1.0
Pik3c2a,1.0
Pik3r5,1.0
Pikfyve,-1.0
Pip4k2a,1.0
Pip5k1a,1.0
Pitpnm1,1.0
Pja1,-1.0
Pkm,-1.0
Pkn1,1.0
Pkn2,1.0
Pkp4,-1.0
Pla2g4a,1.0
Plcb2,1.0
Plcl2,-1.0
Plec,-1.0
Plekha2,-1.0
Plekhf2,1.0
Plekhg3,1.0
Plekhh3,-1.0
Plekhm2,1.0
Plin3,1.0
Plxdc2,-1.0
Plxna1,-1.0
Plxna4,-1.0
Pnkp,1.0
Pnn,1.0
Pnpla7,1.0
Pola1,-1.0
Pold3,1.0
Poll,1.0
Polr2b,1.0
Polr3c,-1.0
Ppfia1,-1.0
Ppfibp1,1.0
Ppfibp2,1.0
Pphln1,-1.0
Ppm1h,1.0
Ppp1r12a,1.0
Ppp1r12b,-1.0
Ppp1r13l,-1.0
Ppp1r18,1.0
Ppp1r9b,1.0
Ppp2r5a,1.0
Ppp4r3a,-1.0
Ppp6r3,1.0
Prdm2,-1.0
Prex1,-1.0
Prkag2,-1.0
Prkar1a,1.0
Prkcd,1.0
Prkd2,1.0
Prkdc,-1.0
Prpf4b,1.0
Prr3,1.0
Prr5l,-1.0
Prrc2a,1.0
Prrc2b,1.0
Prrc2c,-1.0
Psat1,-1.0
Psd3,1.0
Psd4,1.0
Psma1,1.0
Psmb10,1.0
Psph,1.0
Pstpip1,-1.0
Ptdss2,-1.0
Ptger4,1.0
Ptk2b,1.0
Ptpn12,-1.0
Ptpn18,1.0
Ptpn21,1.0
Ptpn22,1.0
Pttg1,1.0
Pwwp2b,1.0
Pxn,-1.0
Rab11fip1,-1.0
Rab11fip2,-1.0
Rab11fip5,1.0
Rab12,1.0
Rab3il1,1.0
Rab7a,-1.0
Rab8a,-1.0
Rabac1,-1.0
Rabgap1,1.0
Rabgap1l,1.0
Rabgef1,-1.0
Rai14,-1.0
Ralgapa1,1.0
Ralgapa2,1.0
Ralgapb,1.0
Ralgps2,-1.0
Raly,-1.0
Ranbp1,1.0
Ranbp2,1.0
Rapgef2,1.0
Rapgef6,1.0
Raph1,1.0
Rasa1,1.0
Rasa3,1.0
Rasal2,1.0
Rasal3,-1.0
Rassf4,1.0
Raver1,1.0
Rb1,1.0
Rb1cc1,-1.0
Rbbp6,-1.0
Rbm14,1.0
Rbm15,1.0
Rbm17,-1.0
Rbm5,1.0
Rbm6,1.0
Rbm7,1.0
Rbm8a,1.0
Rbmx,1.0
Rbmxl1,-1.0
Rcsd1,1.0
Reps1,1.0
Rere,1.0
Retreg3,1.0
Rexo4,1.0
Rfc1,1.0
Rftn1,-1.0
Rfx5,1.0
Rgcc,1.0
Rgs12,1.0
Rgs3,-1.0
Rhbdf1,-1.0
Rhbdf2,1.0
Ric1,1.0
Rictor,-1.0
Rif1,1.0
Rilpl1,1.0
Rin2,1.0
Ripk1,1.0
Ripk2,-1.0
Ripor1,-1.0
Rmdn3,1.0
Rnaseh2a,-1.0
Rnf168,-1.0
Rnf169,-1.0
Rnf213,1.0
Rnf214,1.0
Rnf31,1.0
Rp2,1.0
Rpain,-1.0
Rpl13,1.0
Rpl19,1.0
Rpl37,-1.0
Rprd2,-1.0
Rps10,-1.0
Rps6ka1,1.0
Rps6ka4,1.0
Rps6ka5,1.0
Rps6kb1,1.0
Rps6kb2,-1.0
Rragc,1.0
Rrbp1,1.0
Rreb1,1.0
Rrp1b,1.0
Rsbn1,1.0
Rsl1d1,1.0
Rtp4,1.0
Rufy1,1.0
Runx1,-1.0
Runx3,-1.0
Rusc2,1.0
Sacs,1.0
Samd4b,1.0
Samsn1,-1.0
Sart1,1.0
Sart3,1.0
Sash1,1.0
Sav1,-1.0
Saysd1,-1.0
Sbno1,-1.0
Scaf1,-1.0
Scaf11,1.0
Scamp3,-1.0
Scaper,1.0
Scrib,1.0
Sec16a,1.0
Sec22b,1.0
Secisbp2,1.0
Senp2,-1.0
Senp7,1.0
Set,1.0
Setd2,1.0
Sfpq,1.0
Sgk1,1.0
Sh2d3c,-1.0
Sh3bp1,1.0
Sh3bp2,-1.0
Sh3bp4,1.0
Sh3bp5,1.0
Sh3kbp1,-1.0
Sh3pxd2a,1.0
Sh3pxd2b,-1.0
Sh3tc1,-1.0
Shtn1,1.0
Sidt2,-1.0
Sin3a,1.0
Sipa1l1,1.0
Sipa1l2,1.0
Sipa1l3,-1.0
Sirpa,1.0
Ski,-1.0
Skiv2l2,1.0
Skt,1.0
Slain2,-1.0
Slc12a4,1.0
Slc25a46,1.0
Slc2a6,1.0
Slc35a5,1.0
Slc45a4,1.0
Slc46a1,1.0
Slc4a7,-1.0
Slc7a6,1.0
Slc9a1,-1.0
Slc9a3r1,-1.0
Slco2b1,-1.0
Slf2,1.0
Slk,-1.0
Slx4,1.0
Slx4ip,1.0
Smad2,1.0
Smad4,1.0
Smarca5,1.0
Smc1a,1.0
Smcr8,-1.0
Smg6,-1.0
Smg7,1.0
Snta1,-1.0
Sntb2,1.0
Snx17,1.0
Snx2,-1.0
Snx33,1.0
Snx5,1.0
Snx6,1.0
Soga1,1.0
Son,-1.0
Sos1,1.0
Sos2,1.0
Sowahc,1.0
Sp110,1.0
Spag7,1.0
Spag9,1.0
Spata2,1.0
Spata6,1.0
Specc1,1.0
Speg,1.0
Spen,-1.0
Sphk2,1.0
Spire1,1.0
Sptan1,1.0
Sptbn1,-1.0
Sqstm1,1.0
Srbd1,-1.0
Srcap,1.0
Srgap2,1.0
Srpk2,1.0
Srrm1,-1.0
Srrm2,1.0
Srrt,1.0
Srsf10,1.0
Srsf5,-1.0
Srsf6,1.0
Ssb,-1.0
Ssfa2,1.0
Stag1,-1.0
Stag2,-1.0
Stam2,-1.0
Stard9,-1.0
Stat1,1.0
Stk11ip,1.0
Stk24,1.0
Stmn1,1.0
Stom,1.0
Strn,1.0
Stx4,1.0
Stxbp5,1.0
Suco,1.0
Svil,1.0
Syk,1.0
Sympk,1.0
Synrg,1.0
Szt2,1.0
Tab2,-1.0
Tab3,-1.0
Taf2,1.0
Taf3,1.0
Taf6,1.0
Taf7,1.0
Tagap,1.0
Tanc2,1.0
Tank,1.0
Taok3,1.0
Tapbp,1.0
Tax1bp1,1.0
Tbc1d1,1.0
Tbc1d10b,-1.0
Tbc1d14,1.0
Tbc1d22a,1.0
Tbc1d24,1.0
Tbc1d25,-1.0
Tbc1d2b,-1.0
Tbc1d4,1.0
Tbc1d5,1.0
Tbrg1,-1.0
Tceanc2,-1.0
Tcf20,1.0
Tcf3,1.0
Tcirg1,1.0
Tcof1,1.0
Tcp11l1,1.0
Tesk1,-1.0
Tet3,1.0
Tex2,-1.0
Tfe3,-1.0
Themis2,1.0
Thoc2,1.0
Thoc5,1.0
Thrap3,1.0
Thumpd1,1.0
Tiam1,1.0
Ticam2,1.0
Tjp2,-1.0
Tjp3,1.0
Tln1,1.0
Tmc8,-1.0
Tmcc1,1.0
Tmcc3,1.0
Tmem115,1.0
Tmem131,1.0
Tmem154,1.0
Tmem176b,1.0
Tmem201,1.0
Tmem219,1.0
Tmem40,-1.0
Tmem57,-1.0
Tmem63b,1.0
Tmpo,1.0
Tnfaip3,1.0
Tnfaip8l2,1.0
Tnip3,1.0
Tnks1bp1,1.0
Tnni1,1.0
Tnrc18,1.0
Tns1,-1.0
Tns3,1.0
Top2b,-1.0
Topors,-1.0
Tor1aip1,1.0
Tor4a,-1.0
Tp53bp1,1.0
Tpcn1,-1.0
Tpd52,1.0
Tpm3,1.0
Tpm4,1.0
Tprn,1.0
Tpx2,1.0
Tra2a,1.0
Traf3ip1,-1.0
Trak2,-1.0
Trappc10,1.0
Trappc12,1.0
Trappc9,1.0
Trem2,1.0
Trim25,1.0
Trim30a,1.0
Trim36,1.0
Trim47,1.0
Trio,1.0
Trp53bp2,1.0
Trpm7,-1.0
Trps1,-1.0
Trrap,1.0
Tsc1,1.0
Tsc2,1.0
Tsc22d4,1.0
Tsnax,-1.0
Ttc14,1.0
Ttf1,1.0
Ttf2,1.0
Tubgcp3,1.0
Tubgcp5,1.0
Tulp4,1.0
Twistnb,-1.0
Txlng,-1.0
Txnrd3,-1.0
U2surp,1.0
Ubap2,-1.0
Ubap2l,1.0
Ubash3b,-1.0
Ube2o,-1.0
Ubn1,-1.0
Ubp1,-1.0
Ubr4,1.0
Ubtf,1.0
Ubxn1,1.0
Ubxn2b,1.0
Ubxn6,-1.0
Ubxn7,-1.0
Ufl1,1.0
Uhrf1bp1,-1.0
Uhrf1bp1l,1.0
Uhrf2,1.0
Ulk2,1.0
Unc13b,-1.0
Usp32,-1.0
Usp5,1.0
Vac14,1.0
Vamp3,1.0
Vapa,1.0
Vapb,1.0
Vav1,1.0
Vav3,1.0
Vcpip1,-1.0
Vgll4,1.0
Vim,1.0
Vipas39,1.0
Vps13c,1.0
Vps13d,-1.0
Vps26b,1.0
Vps45,1.0
Vps50,1.0
Vsir,1.0
Vti1b,-1.0
Wac,1.0
Wasf2,-1.0
Washc2,-1.0
Wdfy3,1.0
Wdr11,-1.0
Wdr37,1.0
Wdr62,1.0
Wdr7,-1.0
Wdr91,1.0
Wipf1,1.0
Wiz,1.0
Wnk1,1.0
Wsb1,1.0
Xpo1,1.0
Xpr1,1.0
Xrn1,1.0
Yeats2,1.0
Ythdf3,1.0
Zbp1,1.0
Zbtb11,1.0
Zc3h11a,1.0
Zc3h12a,-1.0
Zc3h12c,-1.0
Zc3h12d,-1.0
Zc3h13,1.0
Zc3h14,1.0
Zc3h3,1.0
Zc3hav1,1.0
Zc3hc1,-1.0
Zcchc11,1.0
Zcchc17,1.0
Zcchc6,1.0
Zcchc7,1.0
Zdhhc18,-1.0
Zdhhc5,1.0
Zfand2b,1.0
Zfc3h1,1.0
Zfhx3,1.0
Zfp106,1.0
Zfp263,1.0
Zfp318,1.0
Zfp326,1.0
Zfp36l1,1.0
Zfp36l2,1.0
Zfp395,1.0
Zfp407,1.0
Zfp62,-1.0
Zfp638,1.0
Zfp652,1.0
Zfp704,-1.0
Zfp764,1.0
Zfp768,1.0
Zfp874b,1.0
Zfyve1,-1.0
Zfyve26,1.0
Zmym2,1.0
Zmynd8,1.0
Znf22,1.0
Znf276,1.0
Znf414,-1.0
Znf592,1.0
Znf609,1.0
Znf629,1.0
Znf639,1.0
Znf830,1.0
Zranb2,-1.0
Zswim8,-1.0
Zw10,1.0
Zzef1,1.0
